HGNC approved symbol	HGNC approved name	UniProt ID (human)	Pfam domains	UniProt ID (mouse)	Function	Modification	Protein complex	Target entity	Product
PCGF5	polycomb group ring finger 5	PCGF5_HUMAN	zf-C3HC4_2 PF13923 18-56, RAWUL PF16207 163-216	PCGF5_MOUSE	Polycomb group (PcG) protein	#	PRC1, RING2-FBRS	#	#
PCGF6	polycomb group ring finger 6	PCGF6_HUMAN	zf-C3HC4_2 PF13923 134-172, RAWUL PF16207 275-323	PCGF6_MOUSE	Polycomb group (PcG) protein	#	PRC1, RING2-L3MBTL2	#	#
PCNA	proliferating cell nuclear antigen	PCNA_HUMAN	PCNA_N PF00705 1-124, PCNA_C PF02747 127-254	PCNA_MOUSE	Chromatin remodeling	#	#	H2A, H2B	#
PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1	PDP1_HUMAN	PP2C PF00481 202-439	PDP1_MOUSE	Histone modification read	#	#	H4K20me3	#
PELP1	proline, glutamate and leucine rich protein 1	PELP1_HUMAN	RIX1 PF08167 75-231, PELP1_HEAT PF08166 425-473 558-635	PELP1_MOUSE	Histone modification read, Histone modification write cofactor	Histone methylation, Histone acetylation	CHD8, MLL2/3, MLL4/WBP7	H1, H3, H4	#
PHC1	polyhomeotic homolog 1 (Drosophila)	PHC1_HUMAN	zf-FCS_1 PF21319 798-827, PHC2_SAM_assoc PF16616 829-936, SAM_1 PF00536 939-1002	PHC1_MOUSE	Polycomb group (PcG) protein	#	PRC1	#	#
PHC2	polyhomeotic homolog 2 (Drosophila)	PHC2_HUMAN	zf-FCS_1 PF21319 640-669, PHC2_SAM_assoc PF16616 670-789, SAM_1 PF00536 791-856	PHC2_MOUSE	Polycomb group (PcG) protein	#	PRC1	#	#
PHC3	polyhomeotic homolog 3 (Drosophila)	PHC3_HUMAN	zf-FCS_1 PF21319 783-812, SAM_1 PF00536 919-981	PHC3_MOUSE	Polycomb group (PcG) protein	#	PRC1	#	#
PHF1	PHD finger protein 1	PHF1_HUMAN	Tudor_2 PF18104 34-69, PHD PF00628 90-139, Mtf2_C PF14061 534-564	PHF1_MOUSE	Polycomb group (PcG) protein	#	PRC2	#	#
PHF10	PHD finger protein 10	PHF10_HUMAN	PHD PF00628 380-433 436-478	PHF10_MOUSE	Chromatin remodeling	#	npBAF, SWI/SNF BRM-BRG1	#	#
PHF12	PHD finger protein 12	PHF12_HUMAN	PHD PF00628 59-102 273-318, PHF12_MRG_bd PF16737 201-236	PHF12_MOUSE	Histone modification erase cofactor	Histone acetylation	#	#	#
PHF13	PHD finger protein 13	PHF13_HUMAN	PHD_5 PF20826 226-279	PHF13_MOUSE	Histone modification read	#	#	H3K4me3	#
PHF14	PHD finger protein 14	PHF14_HUMAN	PHD_2 PF13831 334-359, zf-HC5HC2H_2 PF13832 384-498, PHD PF00628 728-776 871-918	PHF14_MOUSE	Histone modification read	#	#	H2A, H2B, H3	H2Aac, H2Bac, H3ac
PHF19	PHD finger protein 19	PHF19_HUMAN	Tudor_2 PF18104 43-78, PHD PF00628 99-148, Mtf2_C PF14061 531-578	PHF19_MOUSE	Chromatin remodeling, Histone modification write cofactor	Histone acetylation	PRC2	#	#
PHF2	PHD finger protein 2	PHF2_HUMAN	PHD PF00628 8-53, JmjC PF02373 237-336, JHD PF17811 340-443	PHF2_MOUSE	Histone modification erase	Histone methylation	#	H3K9me2	H3K9
PHF20	PHD finger protein 20	PHF20_HUMAN	Tudor_3 PF18115 89-136, PHF20_AT-hook PF12618 147-282, PHD_5 PF20826 647-699	PHF20_MOUSE	Histone modification write	Histone acetylation	NSL, CHD8, MLL2/3, MLL4/WBP7	H4	H4ac
PHF20L1	PHD finger protein 20-like 1	P20L1_HUMAN	Tudor_2 PF18104 90-124, PHD20L1_u1 PF16660 309-439, PHD_5 PF20826 675-729	P20L1_MOUSE	Histone modification read	#	#	H3K4me	#
PHF21A	PHD finger protein 21A	PF21A_HUMAN	PHD PF00628 491-532	PF21A_MOUSE	Histone modification erase cofactor	Histone methylation	BHC, LSD-CoREST	#	#
PHF8	PHD finger protein 8	PHF8_HUMAN	PHD PF00628 44-89, JmjC PF02373 270-370, JHD PF17811 374-481	PHF8_MOUSE	Histone modification erase	Histone methylation	#	H3K9me1, H3K9me2, H3K27me2, H4K20me1, H3K36me2, H3K36me3, H3K4me3	H3K9, H3K27, H4K20, H3K36, H3K4
PHIP	pleckstrin homology domain interacting protein	PHIP_HUMAN	WD40 PF00400 179-211 214-252 259-298 357-393 456-495, Bromodomain PF00439 1166-1250 1327-1404	PHIP_MOUSE	Histone modification read	#	#	H3	#
PIWIL4	piwi-like RNA-mediated gene silencing 4	PIWL4_HUMAN	PAZ PF02170 272-405, Piwi PF02171 546-837	PIWL4_MOUSE	Chromatin remodeling, Histone modification erase cofactor	Histone methylation	#	H3K9	#
PKM	pyruvate kinase, muscle	KPYM_HUMAN	PK PF00224 43-375, PK_C PF02887 411-528	KPYM_MOUSE	Histone modification write cofactor	Histone phosphorylation	#	H3S10, H3S28, H2BS32	H3S10ph, H3S28ph, H2BS32ph, H3T11ph
PKN1	protein kinase N1	PKN1_HUMAN	HR1 PF02185 38-98 127-194 214-278, Pkinase PF00069 616-874, Pkinase_C PF00433 895-937	PKN1_MOUSE	Histone modification write	Histone phosphorylation	#	H3T11	H3T11ph
POGZ	pogo transposable element with ZNF domain	POGZ_HUMAN	HTH_Tnp_Tc5 PF03221 1025-1082, DDE_1 PF03184 1157-1287	POGZ_MOUSE	Histone modification read	Histone methylation	#	H3K9me3	#
POLE3	polymerase (DNA directed), epsilon 3, accessory subunit	DPOE3_HUMAN	CBFD_NFYB_HMF PF00808 9-73	DPOE3_MOUSE	Histone chaperone	#	CHRAC	#	#
PPARGC1A	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	PRGC1_HUMAN	RRM_1 PF00076 679-739	PRGC1_MOUSE	Histone modification cofactor	#	#	#	#
PPM1G	protein phosphatase, Mg2+/Mn2+ dependent, 1G	PPM1G_HUMAN	PP2C PF00481 26-108 303-489	PPM1G_MOUSE	Chromatin remodeling	#	#	#	#
PPP2CA	protein phosphatase 2, catalytic subunit, alpha isozyme	PP2AA_HUMAN	Metallophos PF00149 51-244	PP2AA_MOUSE	Histone modification write	Histone phosphorylation	#	H2AX	H2AXph
PPP4C	protein phosphatase 4, catalytic subunit	PP4C_HUMAN	Metallophos PF00149 48-241	PP4C_MOUSE	Histone modification erase	Histone phosphorylation	PPP4C-PPP4R2-PPP4R3A	H2AXS139ph	H2AXS139
PPP4R2	protein phosphatase 4, regulatory subunit 2	PP4R2_HUMAN	PPP4R2 PF09184 5-309	PP4R2_MOUSE	Histone modification cofactor	#	PPP4C-PPP4R2-PPP4R3A	#	#
PQBP1	Polyglutamine-binding protein 1 (PQBP-1) (38 kDa nuclear protein containing a WW domain) (Npw38) (Polyglutamine tract-binding protein 1)	PQBP1_HUMAN		PQBP1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
PRDM1	PR domain containing 1, with ZNF domain	PRDM1_HUMAN	PRDM2_PR PF21549 95-209, zf-C2H2 PF00096 575-597 603-625 631-653 659-681	PRDM1_MOUSE	Histone modification write cofactor	Histone methylation	#	H3K9	H3K9me
PRDM11	PR domain containing 11	PRD11_HUMAN	PRDM2_PR PF21549 152-268	PRD11_MOUSE	Histone modification write	Histone methylation	#	#	#
PRDM12	PR domain containing 12	PRD12_HUMAN	PRDM2_PR PF21549 89-213, zf-C2H2 PF00096 244-265 271-293	PRD12_MOUSE	Histone modification write cofactor	Histone methylation	#	H3K9	H3K9me
PRDM13	PR domain containing 13	PRD13_HUMAN	PRDM2_PR PF21549 11-120, zf-C2H2 PF00096 137-159 574-595 601-623 630-653	PRD13_MOUSE	Histone modification write	Histone methylation	#	#	#
PRDM14	PR domain containing 14	PRD14_HUMAN	PRDM2_PR PF21549 262-377, zf-C2H2 PF00096 461-483 489-511 546-568	PRD14_MOUSE	DNA modification	DNA demethylation	#	mC	#
PRDM16	PR domain containing 16	PRD16_HUMAN	PRDM2_PR PF21549 84-212, zf-C2H2_6 PF13912 230-250, zf-C2H2 PF00096 281-303 309-331 337-360 366-388 394-416 424-443 951-973 979-1002 1008-1030	PRD16_MOUSE	Histone modification write cofactor, TF	Histone methylation, TF repressor	#	H3K9, DNA motif	H3K9me
PRDM2	PR domain containing 2, with ZNF domain	PRDM2_HUMAN	PRDM2_PR PF21549 30-144, zf-C2H2 PF00096 360-382 390-412, zf-C2H2_6 PF13912 483-506 1455-1475	#	Histone modification write	Histone methylation	#	H3K9	H3K9me
PRDM4	PR domain containing 4	PRDM4_HUMAN	zf_PR_Knuckle PF18445 366-404, PRDM2_PR PF21549 414-537, zf-C2H2 PF00096 618-640 646-668 674-696	PRDM4_MOUSE	Histone modification write	Histone methylation	#	H4R3	H4R3me2s
PRDM5	PR domain containing 5	PRDM5_HUMAN	PRDM2_PR PF21549 8-127, zf-C2H2 PF00096 199-219 262-287 295-317 320-342 376-398 404-426 432-455 489-511 517-539 545-567 573-595 602-625, zf-met PF12874 234-254, zf-C2H2_6 PF13912 348-370 461-483	PRDM5_MOUSE	Histone modification write	Histone methylation	#	H3K9	H3K9me
PRDM6	PR domain containing 6	PRDM6_HUMAN	PRDM2_PR PF21549 255-374, zf-C2H2 PF00096 501-523 529-551 557-577	PRDM6_MOUSE	Histone modification write	Histone methylation	#	H3R2, H4K20	H3R2me1, H3R2me2, H4K20me1
PRDM7	PR domain containing 7	PRDM7_HUMAN	KRAB PF01352 28-65, SSXRD PF09514 169-204, PRDM2_PR PF21549 245-365	#	Histone modification write	Histone methylation	#	#	#
PRDM8	PR domain containing 8	PRDM8_HUMAN	PRDM2_PR PF21549 26-138, zf-C2H2_4 PF13894 667-688	PRDM8_MOUSE	Histone modification write	Histone methylation	#	#	#
PRDM9	PR domain containing 9	PRDM9_HUMAN	KRAB PF01352 32-62, SSXRD PF09514 89-97, PRDM2_PR PF21549 246-366, zf-C2H2_5 PF21225 390-411, zf-C2H2 PF00096 552-574 580-602 608-630 636-658 670-714 720-742 748-770 776-798 804-826 832-854 860-882	PRDM9_MOUSE	Histone modification write	Histone methylation	#	H3K4	H3K4me3
PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit	AAPK1_HUMAN	Pkinase PF00069 27-279, AMPK_alpha_AID PF21147 299-343, AdenylateSensor PF16579 406-479	AAPK1_MOUSE	Histone modification write	Histone phosphorylation	#	H2BS36	H2BS36ph
PRKAA2	protein kinase, AMP-activated, alpha 2 catalytic subunit	AAPK2_HUMAN	Pkinase PF00069 16-268, AMPK_alpha_AID PF21147 288-333, AdenylateSensor PF16579 401-477	AAPK2_MOUSE	Histone modification write	Histone phosphorylation	#	H2BS36	H2BS36ph
PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	AAKB1_HUMAN	AMPK1_CBM PF16561 79-160, AMPKBI PF04739 200-269	AAKB1_MOUSE	Histone modification write cofactor	Histone phosphorylation	#	#	#
PRKAB2	protein kinase, AMP-activated, beta 2 non-catalytic subunit	AAKB2_HUMAN	AMPK1_CBM PF16561 78-160, AMPKBI PF04739 202-271	AAKB2_MOUSE	Histone modification write cofactor	Histone phosphorylation	#	#	#
PRKAG1	protein kinase, AMP-activated, gamma 1 non-catalytic subunit	AAKG1_HUMAN	CBS PF00571 45-96 127-176 203-249 276-323	AAKG1_MOUSE	Histone modification write cofactor	Histone phosphorylation	#	#	#
PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	AAKG2_HUMAN	CBS PF00571 277-328 359-409 435-481 510-555	AAKG2_MOUSE	Histone modification write cofactor	Histone phosphorylation	#	#	#
PRKAG3	protein kinase, AMP-activated, gamma 3 non-catalytic subunit	AAKG3_HUMAN	CBS PF00571 283-332 358-404 430-478	AAKG3_MOUSE	Histone modification write cofactor	Histone phosphorylation	#	#	#
PRKCA	protein kinase C, alpha	KPCA_HUMAN	C1_1 PF00130 37-86 102-152, C2 PF00168 172-276, Pkinase PF00069 341-584, Pkinase_C PF00433 624-658	KPCA_MOUSE	Histone modification write cofactor	Histone phosphorylation	#	H3	#
PRKCB	protein kinase C, beta	KPCB_HUMAN	C1_1 PF00130 37-86 102-153, C2 PF00168 172-277, Pkinase PF00069 344-596, Pkinase_C PF00433 621-662	KPCB_MOUSE	Histone modification write	Histone methylation	#	H3T6	H3T6ph
PRKCD	protein kinase C, delta	KPCD_HUMAN	PKC_C2 PF21494 3-112, C1_1 PF00130 159-209 231-281, Pkinase PF00069 350-603, Pkinase_C PF00433 624-665	KPCD_MOUSE	Histone modification	#	#	#	#
PRKDC	protein kinase, DNA-activated, catalytic polypeptide	PRKDC_HUMAN	DNA-PKcs_N PF20500 15-874, DNAPKcs_CC1-2 PF20502 1001-1796, DNAPKcs_CC3 PF08163 1596-1947 1825-2207, DNAPKcs_CC5 PF19704 2131-2890, FAT PF02259 2943-3468, PI3_PI4_kinase PF00454 3749-4013, FATC PF02260 4098-4128	PRKDC_MOUSE	Histone modification write	Histone phosphorylation	#	H2AXS139, H2AFXS139	H2AXS139ph, H2AFXS139ph
PRMT1	protein arginine methyltransferase 1	ANM1_HUMAN	Methyltransf_25 PF13649 92-189, domain PF22528 194-358	ANM1_MOUSE	Histone modification write	Histone methylation	#	H4R3	H4R3me1, H4R3me2a
PRMT2	protein arginine methyltransferase 2	ANM2_HUMAN	SH3_1 PF00018 36-82, MTS PF05175 131-210, domain PF22528 244-415	ANM2_MOUSE	Histone modification write	Histone methylation	#	H4	H4me
PRMT5	protein arginine methyltransferase 5	ANM5_HUMAN	PRMT5_TIM PF17285 36-290, PRMT5 PF05185 299-464, PRMT5_C PF17286 467-635	ANM5_MOUSE	Histone modification write	Histone methylation	methylosome	H3R8, H4R3	H3R8me, H4R3me
PRMT6	protein arginine methyltransferase 6	ANM6_HUMAN	Methyltransf_25 PF13649 85-182, domain PF22528 188-362	ANM6_MOUSE	Histone modification write	Histone methylation	#	H2AR3, H3R2, H4R4	H2AR3me, H4R3me, H3R2me2a
PRMT7	protein arginine methyltransferase 7	ANM7_HUMAN	PrmA PF06325 64-124, domain PF22528 177-348 515-686	ANM7_MOUSE	Histone modification write	Histone methylation	#	H2A, H4R3	H2A, H4R3me2
PRMT8	protein arginine methyltransferase 8	ANM8_HUMAN	PrmA PF06325 111-184, domain PF22528 217-380	ANM8_MOUSE	Histone modification write	Histone methylation	#	H4R	H4Rme
PRMT9	protein arginine methyltransferase 9	ANM9_HUMAN	PrmA PF06325 175-235, domain PF22528 366-461 750-837	ANM9_MOUSE	Histone modification write	Histone methylation	#	H4R3	H4R3me2
PRPF31	pre-mRNA processing factor 31	PRP31_HUMAN	Nop PF01798 100-332, Prp31_C PF09785 341-465	PRP31_MOUSE	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	CHD8, MLL2/3, MLL4/WBP7	#	#
PRR14	proline rich 14	PRR14_HUMAN	Tantalus PF15386 463-519	PRR14_MOUSE	Histone modification write	Histone phosphorylation	#	H3K9me2, H3K9me3	#
PSIP1	PC4 and SFRS1 interacting protein 1	PSIP1_HUMAN	PWWP PF00855 8-88, LEDGF PF11467 350-446	PSIP1_MOUSE	Chromatin remodeling	#	#	#	#
PTBP1	Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	PTBP1_HUMAN	RRM_5 PF13893 59-144 340-460, RRM_8 PF11835 178-258, RRM_1 PF00076 484-544	PTBP1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
PTBP1	Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	PTBP1_HUMAN	RRM_5 PF13893 59-144 340-460, RRM_8 PF11835 178-258, RRM_1 PF00076 484-544	PTBP1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
PUF60	Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1)	PUF60_HUMAN	RRM_1 PF00076 131-201 228-297	PUF60_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RAD51	RAD51 recombinase	RAD51_HUMAN	HHH_5 PF14520 32-79, Rad51 PF08423 95-336	RAD51_MOUSE	Histone modification erase	Histone ubiquitination	BRCC	histone	#
RAD54B	RAD54 homolog B (S. cerevisiae)	RA54B_HUMAN	SNF2-rel_dom PF00176 299-595, Helicase_C PF00271 643-758	RA54B_MOUSE	Chromatin remodeling	#	#	#	#
RAD54L	RAD54-like (S. cerevisiae)	RAD54_HUMAN	SNF2-rel_dom PF00176 156-462, Helicase_C PF00271 499-611	RAD54_MOUSE	Chromatin remodeling	#	#	#	#
RAD54L2	RAD54-like 2 (S. cerevisiae)	ARIP4_HUMAN	SNF2-rel_dom PF00176 274-598, Helicase_C PF00271 725-854	ARIP4_MOUSE	Chromatin remodeling	#	#	#	#
RAG1	recombination activating gene 1	RAG1_HUMAN	RAG1_imp_bd PF12560 1-291, zf-C3HC4 PF00097 293-331, zf-RAG1 PF10426 354-383, RAG1 PF12940 387-1022	RAG1_MOUSE	Histone modification write	Histone ubiquitination	#	H3.3K, DNA motif	H3.3Kub
RAG2	recombination activating gene 2	RAG2_HUMAN	RAG2 PF03089 52-390, RAG2_PHD PF13341 414-490	RAG2_MOUSE	Histone modification read	#	#	H3K4me3	#
RAI1	retinoic acid induced 1	RAI1_HUMAN	zf-HC5HC2H PF13771 1825-1903	RAI1_MOUSE	Chromatin remodeling	#	#	#	#
RARA	retinoic acid receptor, alpha	RARA_HUMAN	zf-C4 PF00105 87-155, Hormone_recep PF00104 227-399	RARA_MOUSE	Histone modification write cofactor, TF	Histone methylation, TF activator, TF repressor	#	H3K4	H3K4me, H3K4me2
RB1	retinoblastoma 1	RB_HUMAN	DUF3452 PF11934 110-229, RB_A PF01858 375-573, RB_B PF01857 647-765, Rb_C PF08934 768-925	RB_MOUSE	Chromatin remodeling, Histone modification write	Histone ubiquitination	CREST-BRG1, L3MBTL1	#	#
RBBP4	retinoblastoma binding protein 4	RBBP4_HUMAN	CAF1C_H4-bd PF12265 19-88, WD40 PF00400 173-206 221-256 265-302 309-346 367-402	RBBP4_MOUSE	Histone chaperone	#	NuRF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, NuRD, mSin3A, core HDAC, mSin3A-like complex, PRC2, CAF-1	H4	#
RBBP5	retinoblastoma binding protein 5	RBBP5_HUMAN	WD40 PF00400 29-52 62-94	RBBP5_MOUSE	Histone modification write cofactor	Histone methylation	COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4	H3K4	H3K4me1, H3K4me2, H3K4me3
RBBP7	retinoblastoma binding protein 7	RBBP7_HUMAN	CAF1C_H4-bd PF12265 18-87, WD40 PF00400 172-205 220-255 264-301 308-345 366-402	RBBP7_MOUSE	Histone chaperone	#	NuRF, NuRD, mSin3A, core HDAC, mSin3A-like complex, PRC2	H4	#
RBFOX1	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	RBMX_HUMAN	RRM_1 PF00076 10-80, RBM1CTR PF08081 169-221	RBMX_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RBM11	Splicing regulator RBM11 (RNA-binding motif protein 11)	RBM11_HUMAN	RRM_1 PF00076 12-80	RBM11_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RBM15	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	RBM15_HUMAN	RRM_1 PF00076 182-245 376-444, SPOC PF07744 783-956	RBM15_MOUSE	RNA modification	RNA methylation	WMM	A of mRNA	m6A
RBM15B	Putative RNA-binding protein 15B (One-twenty two protein 3) (HsOTT3) (HuOTT3) (RNA-binding motif protein 15B)	RB15B_HUMAN	RRM_1 PF00076 339-408 420-480, SPOC PF07744 705-888	RB15B_MOUSE	RNA modification	RNA methylation	WMM	A of mRNA	m6A
RBM17	Splicing factor 45 (45 kDa-splicing factor) (RNA-binding motif protein 17)	SPF45_HUMAN	G-patch PF01585 236-276, RRM_1 PF00076 328-383	SPF45_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RBM24	RNA-binding protein 24 (RNA-binding motif protein 24) (RNA-binding region-containing protein 6)	RBM24_HUMAN	RRM_1 PF00076 13-70	RBM24_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RBM25	RNA-binding protein 25 (Arg/Glu/Asp-rich protein of 120 kDa) (RED120) (Protein S164) (RNA-binding motif protein 25) (RNA-binding region-containing protein 7)	RBM25_HUMAN	RRM_1 PF00076 89-157, PWI PF01480 770-835	RBM25_MOUSE	RNA modification	Alternative splicing	#	RNA	#
RBM4	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)	RBM4_HUMAN	RRM_1 PF00076 4-65 80-142, zf-CCHC PF00098 161-176	RBM4_MOUSE	RNA modification	Alternative splicing	#	RNA	#
RBM5	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)	RBM5_HUMAN	RRM_1 PF00076 100-163 233-295, zf-RanBP PF00641 181-209, OCRE PF17780 456-507, G-patch PF01585 743-787	RBM5_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RBM7	RNA-binding protein 7 (RNA-binding motif protein 7)	RBM7_HUMAN	RRM_1 PF00076 12-81	RBM7_MOUSE	RNA modification	RNA degradation, alternative splicing	#	snRNA	#
RBM8A	RNA-binding protein 8A (Binder of OVCA1-1) (BOV-1) (RNA-binding motif protein 8A) (RNA-binding protein Y14) (Ribonucleoprotein RBM8A)	RBM8A_HUMAN	RRM_1 PF00076 75-144	RBM8A_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RBMY1A1	RNA-binding motif protein, Y chromosome, family 1 member A1 (RNA-binding motif protein 1) (RNA-binding motif protein 2) (Y chromosome RNA recognition motif 1) (hRBMY)	RBY1A_HUMAN	RRM_1 PF00076 10-79	RBY1A_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RBX1	ring-box 1, E3 ubiquitin protein ligase	RBX1_HUMAN	zf-rbx1 PF12678 40-98	RBX1_MOUSE	Histone modification write cofactor	Histone ubiquitination	#	H3, H4	H3ub, H4ub
RCC1	regulator of chromosome condensation 1	RCC1_HUMAN	RCC1 PF00415 35-82 86-134 138-187 191-257 259-309 313-358 364-414	RCC1_MOUSE	Chromatin remodeling	#	#	H2A, H2B	#
RCOR1	REST corepressor 1	RCOR1_HUMAN	ELM2 PF01448 107-158, Myb_DNA-binding PF00249 194-237 385-428, REST_helical PF20878 311-375	RCOR1_MOUSE	Histone modification erase cofactor, Histone modification erase cofactor	Histone acetylation, Histone methylation	BHC, SCL, LSD-CoREST	#	#
RCOR3	REST corepressor 3	RCOR3_HUMAN	ELM2 PF01448 1-52, Myb_DNA-binding PF00249 88-131 289-332, REST_helical PF20878 215-278	RCOR3_MOUSE	Histone modification erase cofactor	Histone acetylation	LSD-CoREST	#	#
REST	RE1-silencing transcription factor	REST_HUMAN	zf-C2H2 PF00096 304-326	REST_MOUSE	Histone modification erase cofactor, TF	Histone acetylation, TF activator, TF repressor	#	DNA motif	#
RFOX1	RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A) (Hexaribonucleotide-binding protein 1)	RFOX1_HUMAN	RRM_1 PF00076 120-186, Fox-1_C PF12414 254-342	RFOX1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RING1	ring finger protein 1	RING1_HUMAN	zf-C3HC4_2 PF13923 47-87, RAWUL PF16207 282-400	RING1_MOUSE	Histone modification write, Polycomb group (PcG) protein	Histone ubiquitination	PRC1, BCOR, RING2-L3MBTL2, RING2-FBRS	H2AK119	H2AK119ub
RLIM	ring finger protein, LIM domain interacting	RNF12_HUMAN	zf-RING_2 PF13639 569-611	RNF12_MOUSE	Histone modification erase cofactor	Histone acetylation	#	#	#
RMI1	RecQ mediated genome instability 1	RMI1_HUMAN	RMI1_N_N PF21000 16-62, RMI1_N_C PF08585 67-206, RMI1_C PF16099 481-623	RMI1_MOUSE	DNA modification	#	#	#	#
RNF168	ring finger protein 168, E3 ubiquitin protein ligase	RN168_HUMAN	zf-C3HC4 PF00097 16-55	RN168_MOUSE	Histone modification write	Histone ubiquitination	#	H2AK13, H2AK15, H2AXK13, H2AXK15	H2AK13ub, H2AK15ub, H2AXK13ub, H2AXK15ub
RNF2	ring finger protein 2	RING2_HUMAN	zf-C3HC4_2 PF13923 50-90, RAWUL PF16207 246-330	RING2_MOUSE	Histone modification write	Histone ubiquitination	PRC1, BCOR, RING2-L3MBTL2, RING2-FBRS, CHD8, MLL2/3, MLL4/WBP7	H2AK119	H2AK119ub
RNF20	ring finger protein 20, E3 ubiquitin protein ligase	BRE1A_HUMAN	zf-C3HC4 PF00097 922-960	BRE1A_MOUSE	Histone modification write	Histone ubiquitination	#	H2BK120	H2BK120ub1
RNF40	ring finger protein 40, E3 ubiquitin protein ligase	BRE1B_HUMAN	zf-C3HC4 PF00097 948-986	BRE1B_MOUSE	Histone modification write cofactor	Histone ubiquitination	#	H2BK121	H2BK120ub2
RNF8	ring finger protein 8, E3 ubiquitin protein ligase	RNF8_HUMAN	FHA PF00498 38-109, zf-C3HC4_3 PF13920 400-446	RNF8_MOUSE	Histone modification write	Histone ubiquitination	#	H2AK63, H2AXK63, H2AK48, H2AXK48	H2AK63ub, H2AXK63ub, H2AK48ub, H2AXK48ub
RNPS1	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	RNPS1_HUMAN	RRM_1 PF00076 164-233	RNPS1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3	KS6A3_HUMAN	Pkinase PF00069 68-327 422-679, Pkinase_C PF00433 351-387	KS6A3_MOUSE	Histone modification write cofactor	Histone phosphorylation	#	H3S10	H3S10ph
RPS6KA4	ribosomal protein S6 kinase, 90kDa, polypeptide 4	KS6A4_HUMAN	Pkinase PF00069 33-301 413-673, Pkinase_C PF00433 322-361	KS6A4_MOUSE	Histone modification write	Histone phosphorylation	#	H3S10, H3S28	H3S10ph, H3S28ph
RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	KS6A5_HUMAN	Pkinase PF00069 49-318 426-687, Pkinase_C PF00433 339-377	KS6A5_MOUSE	Histone modification write	Histone phosphorylation	#	H2AS1, H3S10, H3S28	H2AS1ph, H3S10ph, H3S28ph
RPUSD3	Mitochondrial mRNA pseudouridine synthase RPUSD3 (EC 5.4.99.-) (RNA pseudouridylate synthase domain-containing protein 3)	RUSD3_HUMAN	PseudoU_synth_2 PF00849 90-252	RUSD3_MOUSE	RNA modification	RNA pseudouridinilation	#	mt--mRNA	U
RRP8	ribosomal RNA processing 8, methyltransferase, homolog (yeast)	RRP8_HUMAN	Methyltransf_8 PF05148 239-456	RRP8_MOUSE	Histone modification cofactor	#	eNoSc	H3ac	H3K9me2
RSF1	remodeling and spacing factor 1	RSF1_HUMAN	WHIM1 PF15612 96-141, PHD PF00628 894-938	#	Histone modification read	#	RSF	#	#
RSRC1	Serine/Arginine-related protein 53 (SRrp53) (Arginine/serine-rich coiled-coil protein 1)	RSRC1_HUMAN		RSRC1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
